id,tiploc,name
531,BARKUPJ,Barking Upney Junction
532,BARLSOP,Barlaston Orchard Place
533,BARLSTN,Barlaston
534,BARMING,Barming
535,BARN090,Barnes Signal W1090
536,BARNES,Barnes
537,BARO54,Barrow-In-Furness Sig 52/53/54
538,BAROSHJ,Salthouse Jn
539,BAROW,Barrow-in-Furness
540,BAROWCS,Barrow-in-Furness CS
541,BAROWEW,Barrow Docks (ABP)
542,BAROWHS,Barrow-in-Furness HS
543,BAROWOS,Barrow-on-Soar
544,BAROWRD,Barrow Ramsden Dock
545,BAROWYD,Barrow-in-Furness TC
546,BARRABP,Barry Docks ABP Shipment
547,BARRB49,Barry Signal B49
548,BARRBPC,Barry Docks Zeon
549,BARRDCG,Barry Docks Dow Chemicals
550,BARRDGL,Barry Down Goods Loop
551,BARRDNS,Barry DKS ABP Nonshipment
552,BARRDUN,Barry Docks Dunn Bros
553,BARREWS,Barry Docks EWS
554,BARRHEX,Barry Docks Hexion
555,BARRSMT,Barry Docks Samat Terminal
556,BARRY,Barry
557,BARRYDK,Barry Docks
558,BARRYIS,Barry Island
559,BARWHVN,Barrow Haven
560,BASCSDG,Baschurch Sidings
561,BASEL,Basel
562,BASESGG,Basel Sbb Gb Gti
563,BASFORD,Basford (Notts)
564,BASILDN,Basildon
565,BATABAL,Bat & Ball
566,BATHBUS,Bath Spa Bus Station
567,BATHGSL,Bath Goods Loop
568,BATHRTS,Bath A.C.C. R.T.S.
569,BATHSPA,Bath Spa
570,BATLEY,Batley
571,BATRPHS,Battersea Pier C.H.S.
572,BATRSH,Battersea Pier Staff Halt
573,BATRSPJ,Battersea Pier Jn.
574,BATRSPK,Battersea Park
575,BATRSYD,Battersea Loop
576,BATT2XO,Battle No 2 Xover
577,BATTLE,Battle
578,BAYFORD,Bayford
579,BAYHORS,Bay Horse
580,BBGHGL,Barton & Broughton Pass Loop
581,BCHBKFM,Beechbrook Farm Loop
582,BCHGRV,Birchgrove
583,BCKFOOT,Beckfoot
584,BCKJN,Buckland Jn
585,BCKLWCS,Buckley Wells CS(E.L.RLY)
586,BCKN607,Beckenham Jn Signal VS607
587,BCKNBUS,Beckenham Jn (Up Side-Bus)
588,BCKNDSG,Beckenham Down Sidings
589,BCKNHMH,Beckenham Hill
590,BCKNHMJ,Beckenham Junction
591,BCKNMJC,Beckenham Junction (C)
592,BCKWATR,Blackwater
593,BCKY,Buckley
594,BCNGNOS,Birchington-on-Sea
595,BCNSFLD,Beaconsfield
596,BCNSWHI,Whitehouse Tunnel
597,BCST189,Bicester North Signal 189
598,BCST192,Bicester North Signal 192
599,BCST196,Bicester Signal ME2034
600,BCSTARD,Ardley
601,BCSTBLA,Blackthorne
602,BCSTBUS,Bicester Bure Place
603,BCSTCOD,Bicester C.O.D
604,BCSTES,Bicester North ENG SDG
605,BCSTGF,Bicester C.O.D. G.F.
606,BCSTLRD,Bicester London Rd L.C.
607,BCSTN,Bicester North
608,BCSTRTN,Bicester Town
609,BCSTUS,Bicester North Turnback Sidings
610,BCWD,Bricket Wood
611,BDENJT,Burnden Jn
612,BDHMNRD,Bedhampton (New Road)
613,BDHMPTN,Bedhampton
614,BDICK,Brodick
615,BDLNMHJ,Marcheys House Jn
616,BDLNTNS,Bedl'Ton Furnaceway Sdgs
617,BDLNTNX,Bedlington Nth. L.C.
618,BDMNSTR,Bedminster
619,BDST544,Bidston Signal 1544
620,BDSTNEJ,Bidston East Jn
621,BDSTON,Bidston
622,BDSTSDG,Bidston Sidings
623,BDWTHMS,Bedworth Murco Sdgs
624,BEAL,Beal L.C.
625,BEALSMA,Smeafield
626,BEAMMLJ,Beam Mill Jn.
627,BEARLEY,Bearley
628,BEARLYJ,Bearley Jn
629,BEASDAL,Beasdale
630,BEATCE,Beattock Down Siding
631,BEATCK,Beattock
632,BEATCKS,Beattock Summit
633,BEATDNS,Beattock Down Sdgs
634,BEATDPL,Beattock D.P.L.
635,BEATSDL,Beattock Summit D.P.L.
636,BEATSUL,Beattock Summit U.P.L.
637,BEATUPL,Beattock U.P.L.
638,BEATUPS,Beattock Up Sdgs
639,BEATUSS,Beattock Up Summit Sdgs
640,BEAULY,Beauly
641,BEBNGTN,Bebington
642,BECCLES,Beccles
643,BECKBPA,Walkeringham B.P.A.
644,BECKGHM,Beckingham Loop
645,BECKHAX,Haxey & Epworth Crossover
646,BECNTRE,Becontree
647,BEDF603,Bedford Signal 603
648,BEDFBUS,Bedford Bus Station
649,BEDFDCD,Bedford Cauldwell Depot
650,BEDFDCS,Bedford C S
651,BEDFDJS,Bedford Jowett Sdgs
652,BEDFDM,Bedford
653,BEDFDN,Bedford North Jn.
654,BEDFDNS,Bedford North Sidings
655,BEDFDS,Bedford South Jn.
656,BEDFDWR,Bedford Wash Road
657,BEDFEGS,Bedford Engineers Sdgs
658,BEDFMIL,Millbrook
659,BEDWGF,Bedworth Ground Frame
660,BEDWRTH,Bedworth
661,BEDYN,Bedwyn
662,BEDYNRS,Bedwyn Reversing Siding
663,BEGHEAL,Beighton Depot E Allen
664,BEGHFHH,Westthorpe Run Round (FHH)
665,BEGHTJN,Beighton Jn
666,BEGHTND,Beighton Depot
667,BEGHTSJ,Beighton Station Jn
668,BEGHWES,Westthorpe Run Round
669,BEKSBRN,Bekesbourne
670,BELFDRS,Belford Down Recess SDGS
671,BELFORD,Belford L.C.
672,BELFTS,Belford Tamper Siding
673,BELINGS,Bealings
674,BELM,Belmont
675,BELN688,Bellingham Signal VS688
676,BELNGHM,Bellingham
