line_code,source,target,distance_miles
LN736,5247,5248,0.0
LN736,5248,6722,0.0
LN736,6722,3654,0.0
LN736,3654,3657,0.0
LN736,3657,9749,0.0
LN736,9749,1972,0.0
LN736,1972,7835,0.0
LN736,7835,7836,0.0
LN736,7836,9245,0.0
LN736,9245,6235,0.0
LN736,6235,10303,0.0
LN736,10303,11062,0.0
LN736,11062,8281,0.0
LN736,8281,8283,0.0
LN736,8283,8282,0.0
LN736,8282,1078,0.0
LN736,1078,5258,0.0
LN736,5258,5256,0.0
LN736,5256,9779,0.0
LN736,9779,9777,0.0
LN736,9777,9778,0.0
LN736,9778,2530,0.0
LN736,2530,9771,0.0
LN736,9771,6623,0.0
LN736,6623,11757,0.0
LN736,11757,11931,0.0
LN736,11931,11932,0.0
LN736,11932,11933,0.0
LN738,3999,3898,0.0
LN740,3896,3899,0.0
LN740,3899,3999,0.0
LN740,3999,3897,0.0
LN740,3897,4858,0.0
LN740,4858,4825,0.0
LN740,4825,4859,0.0
LN740,4859,4855,0.0
LN740,4855,4849,0.0
LN740,4849,4805,0.0
LN740,4805,4807,0.0
LN740,4807,4824,0.0
LN740,4824,4835,0.0
LN741,4055,9576,0.0
LN742,4840,10712,0.0
LN742,10712,10711,0.0
LN742,10711,4830,0.0
LN742,4830,4809,0.0
LN742,4809,4829,0.0
LN742,4829,4838,0.0
LN742,4838,4811,0.0
LN742,4811,4833,0.0
LN742,4833,4837,0.0
LN742,4837,4857,0.0
LN742,4857,4822,0.0
LN742,4822,4831,0.0
LN742,4831,4819,0.0
LN742,4819,4835,0.0
LN742,4835,4843,0.0
LN742,4843,4832,0.0
LN742,4832,9575,0.0
LN742,9575,9574,0.0
LN742,9574,9576,0.0
LN742,9576,775,0.0
LN744,9575,9155,0.0
LN744,9155,3857,0.0
LN744,3857,6944,0.0
LN744,6944,6581,0.0
LN744,6581,559,0.0
LN744,559,1319,0.0
LN746,2165,1972,0.0
LN748,11035,9245,0.0
LN750,9771,9662,0.0
LN750,9662,2558,0.0
LN750,2558,2559,0.0
LN752,10317,8016,0.0
LN752,8016,6593,0.0
LN752,6593,8009,0.0
LN752,8009,11063,0.0
LN752,11063,11064,0.0
LN752,11064,8019,0.0
LN752,8019,8034,0.0
LN752,8034,8033,0.0
LN752,8033,8020,0.0
LN752,8020,11511,0.0
LN752,11511,8021,0.0
LN752,8021,4040,0.0
LN752,4040,8023,0.0
LN752,8023,194,0.0
LN752,194,2387,0.0
LN752,2387,9233,0.0
LN752,9233,9231,0.0
LN752,9231,4664,0.0
LN752,4664,4662,0.0
LN752,4662,5132,0.0
LN752,5132,5133,0.0
LN752,5133,1424,0.0
LN752,1424,2796,0.0
LN752,2796,11934,0.0
LN754,8016,8032,0.0
LN756,8033,8025,0.0
LN756,8025,8026,0.0
LN756,8026,8015,0.0
LN756,8015,8029,0.0
LN758,1078,10651,0.0
LN758,10651,10652,0.0
LN758,10652,2712,0.0
LN758,2712,6156,0.0
LN758,6156,6157,0.0
LN758,6157,3539,0.0
LN758,3539,2808,0.0
LN758,2808,5843,0.0
LN758,5843,5133,0.0
LN758,5133,11758,0.0
LN758,11758,11759,0.0
LN760,3539,4651,0.0
LN762,2808,2784,0.0
LN764,2808,5843,0.0
LN764,5843,2798,0.0
LN766,1424,2791,0.0
LN768,6059,8273,0.0
LN768,8273,8275,0.0
LN768,8275,8272,0.0
LN768,8272,5512,0.0
LN768,5512,2419,0.0
LN768,2419,3159,0.0
LN768,3159,9978,0.0
LN768,9978,9979,0.0
LN768,9979,10224,0.0
LN768,10224,8281,0.0
LN772,9704,8275,0.0
LN774,1142,4361,0.0
LN774,4361,8157,0.0
LN774,8157,6917,0.0
LN774,6917,6915,0.0
LN776,4361,3520,0.0
LN778,8157,857,0.0
LN782,10224,8283,0.0
LN784,4400,958,0.0
LN784,958,9260,0.0
LN784,9260,1969,0.0
LN784,1969,1971,0.0
LN784,1971,10081,0.0
LN784,10081,9704,0.0
LN784,9704,8272,0.0
LN786,958,11065,0.0
LN788,9260,9257,0.0
LN790,1970,1969,0.0
LN800,1970,1971,0.0
LN802,10081,10085,0.0
LN802,10085,10084,0.0
LN807,2832,2834,0.0
LN809,11066,8255,0.0
LN809,8255,9283,0.0
LN810,11066,9285,0.0
LN812,8255,1137,0.0
LN816,665,667,0.0
LN816,667,9779,0.0
LN818,7773,7772,0.0
LN818,7772,11067,0.0
LN824,6273,8348,0.0
LN832,2774,2809,0.0
LN838,307,1203,0.0
LN838,1203,4227,0.0
LN838,4227,4654,0.0
LN838,4654,9846,0.0
LN838,9846,7705,0.0
