Section rank,Number of disrupted edges,Disrupted edges,Flow trains,Gauge,Trips analysed,Intact Trips,Rerouted Trips,Blocked Trips,Avg Detour (mi),Avg Delay (min)
250,10,"[((1.0216615, 51.9460193), (1.0397772, 51.9491861)), ((1.0214672, 51.9459101), (1.0216615, 51.9460193)), ((1.0397772, 51.9491861), (1.0482816, 51.949485)), ((0.9569663, 51.9110405), (1.0214672, 51.9459101)), ((1.0482816, 51.949485), (1.0484137, 51.9495024)), ((0.9559089, 51.9105978), (0.9569663, 51.9110405)), ((0.9134067, 51.8992272), (0.9559089, 51.9105978)), ((0.9128409, 51.8992367), (0.9134067, 51.8992272)), ((0.9056845, 51.8996051), (0.9128409, 51.8992367)), ((0.8995956, 51.9000021), (0.9056845, 51.8996051))]",119,Gauge 10,864,861 (99.7%),3 (0.3%),0 (0.0%),28.41,89.7
251,14,"[((-0.6884429, 53.28065), (-0.678338, 53.2729892)), ((-0.6884948, 53.2807431), (-0.6884429, 53.28065)), ((-0.678338, 53.2729892), (-0.6616343, 53.2661145)), ((-0.7100619, 53.3146457), (-0.6884948, 53.2807431)), ((-0.6616343, 53.2661145), (-0.6609558, 53.2658427)), ((-0.7101388, 53.314761), (-0.7100619, 53.3146457)), ((-0.6609558, 53.2658427), (-0.582301, 53.2399969)), ((-0.7146579, 53.3218513), (-0.7101388, 53.314761)), ((-0.582301, 53.2399969), (-0.5819568, 53.239863)), ((-0.7150044, 53.3223083), (-0.7146579, 53.3218513)), ((-0.5819568, 53.239863), (-0.5798909, 53.2390683)), ((-0.5798909, 53.2390683), (-0.5757969, 53.2367109)), ((-0.5757969, 53.2367109), (-0.560223, 53.2309434)), ((-0.560223, 53.2309434), (-0.5586371, 53.2306391))]",119,Gauge 6,5211,5089 (97.7%),122 (2.3%),0 (0.0%),0.00,1.5
251,14,"[((-0.6884429, 53.28065), (-0.678338, 53.2729892)), ((-0.6884948, 53.2807431), (-0.6884429, 53.28065)), ((-0.678338, 53.2729892), (-0.6616343, 53.2661145)), ((-0.7100619, 53.3146457), (-0.6884948, 53.2807431)), ((-0.6616343, 53.2661145), (-0.6609558, 53.2658427)), ((-0.7101388, 53.314761), (-0.7100619, 53.3146457)), ((-0.6609558, 53.2658427), (-0.582301, 53.2399969)), ((-0.7146579, 53.3218513), (-0.7101388, 53.314761)), ((-0.582301, 53.2399969), (-0.5819568, 53.239863)), ((-0.7150044, 53.3223083), (-0.7146579, 53.3218513)), ((-0.5819568, 53.239863), (-0.5798909, 53.2390683)), ((-0.5798909, 53.2390683), (-0.5757969, 53.2367109)), ((-0.5757969, 53.2367109), (-0.560223, 53.2309434)), ((-0.560223, 53.2309434), (-0.5586371, 53.2306391))]",119,Gauge 10,864,864 (100.0%),0 (0.0%),0 (0.0%),0,0
252,3,"[((-0.1125205, 51.5883358), (-0.11246, 51.5883783)), ((-0.11246, 51.5883783), (-0.1123462, 51.5882108)), ((-0.1123462, 51.5882108), (-0.1110421, 51.5859362))]",119,Gauge 6,5211,4877 (93.6%),334 (6.4%),0 (0.0%),1.92,52.9
252,3,"[((-0.1125205, 51.5883358), (-0.11246, 51.5883783)), ((-0.11246, 51.5883783), (-0.1123462, 51.5882108)), ((-0.1123462, 51.5882108), (-0.1110421, 51.5859362))]",119,Gauge 10,864,864 (100.0%),0 (0.0%),0 (0.0%),0,0
253,2,"[((-0.9900273, 51.4556628), (-0.9898473, 51.4558796)), ((-0.9898473, 51.4558796), (-0.9897475, 51.4560104))]",119,Gauge 6,5211,5082 (97.5%),129 (2.5%),0 (0.0%),0.06,1.9
253,2,"[((-0.9900273, 51.4556628), (-0.9898473, 51.4558796)), ((-0.9898473, 51.4558796), (-0.9897475, 51.4560104))]",119,Gauge 10,864,864 (100.0%),0 (0.0%),0 (0.0%),0,0
254,16,"[((0.8473383, 51.8971821), (0.8511064, 51.898123)), ((0.841835, 51.8958362), (0.8473383, 51.8971821)), ((0.8511064, 51.898123), (0.8517248, 51.8982834)), ((0.8295514, 51.8927224), (0.841835, 51.8958362)), ((0.8517248, 51.8982834), (0.8518981, 51.898326)), ((0.8152998, 51.8891505), (0.8295514, 51.8927224)), ((0.8518981, 51.898326), (0.8601712, 51.9003986)), ((0.807617, 51.8872064), (0.8152998, 51.8891505)), ((0.8601712, 51.9003986), (0.8603722, 51.9004436)), ((0.8068875, 51.8870144), (0.807617, 51.8872064)), ((0.8603722, 51.9004436), (0.873778, 51.9019879)), ((0.795012, 51.8840463), (0.8068875, 51.8870144)), ((0.873778, 51.9019879), (0.8948137, 51.9003122)), ((0.7864068, 51.8818739), (0.795012, 51.8840463)), ((0.8948137, 51.9003122), (0.8952376, 51.9002821)), ((0.8952376, 51.9002821), (0.8987945, 51.9000561))]",118,Gauge 6,5211,5090 (97.7%),121 (2.3%),0 (0.0%),3.98,11.8
254,16,"[((0.8473383, 51.8971821), (0.8511064, 51.898123)), ((0.841835, 51.8958362), (0.8473383, 51.8971821)), ((0.8511064, 51.898123), (0.8517248, 51.8982834)), ((0.8295514, 51.8927224), (0.841835, 51.8958362)), ((0.8517248, 51.8982834), (0.8518981, 51.898326)), ((0.8152998, 51.8891505), (0.8295514, 51.8927224)), ((0.8518981, 51.898326), (0.8601712, 51.9003986)), ((0.807617, 51.8872064), (0.8152998, 51.8891505)), ((0.8601712, 51.9003986), (0.8603722, 51.9004436)), ((0.8068875, 51.8870144), (0.807617, 51.8872064)), ((0.8603722, 51.9004436), (0.873778, 51.9019879)), ((0.795012, 51.8840463), (0.8068875, 51.8870144)), ((0.873778, 51.9019879), (0.8948137, 51.9003122)), ((0.7864068, 51.8818739), (0.795012, 51.8840463)), ((0.8948137, 51.9003122), (0.8952376, 51.9002821)), ((0.8952376, 51.9002821), (0.8987945, 51.9000561))]",118,Gauge 10,864,863 (99.9%),1 (0.1%),0 (0.0%),0.00,1.0
255,13,"[((-0.330536, 53.5995394), (-0.3301127, 53.5997038)), ((-0.3443013, 53.5937642), (-0.330536, 53.5995394)), ((-0.3301127, 53.5997038), (-0.3208741, 53.60298)), ((-0.3445592, 53.5936531), (-0.3443013, 53.5937642)), ((-0.3208741, 53.60298), (-0.3131721, 53.6056202)), ((-0.3802057, 53.5799269), (-0.3445592, 53.5936531)), ((-0.3131721, 53.6056202), (-0.3122959, 53.6059422)), ((-0.4071422, 53.5761574), (-0.3802057, 53.5799269)), ((-0.408031, 53.5757863), (-0.4071422, 53.5761574)), ((-0.4081981, 53.5757137), (-0.408031, 53.5757863)), ((-0.418725, 53.5707483), (-0.4081981, 53.5757137)), ((-0.4199934, 53.5701485), (-0.418725, 53.5707483)), ((-0.4204732, 53.5699205), (-0.4199934, 53.5701485))]",118,Gauge 6,5211,5210 (100.0%),1 (0.0%),0 (0.0%),0.02,1.0
255,13,"[((-0.330536, 53.5995394), (-0.3301127, 53.5997038)), ((-0.3443013, 53.5937642), (-0.330536, 53.5995394)), ((-0.3301127, 53.5997038), (-0.3208741, 53.60298)), ((-0.3445592, 53.5936531), (-0.3443013, 53.5937642)), ((-0.3208741, 53.60298), (-0.3131721, 53.6056202)), ((-0.3802057, 53.5799269), (-0.3445592, 53.5936531)), ((-0.3131721, 53.6056202), (-0.3122959, 53.6059422)), ((-0.4071422, 53.5761574), (-0.3802057, 53.5799269)), ((-0.408031, 53.5757863), (-0.4071422, 53.5761574)), ((-0.4081981, 53.5757137), (-0.408031, 53.5757863)), ((-0.418725, 53.5707483), (-0.4081981, 53.5757137)), ((-0.4199934, 53.5701485), (-0.418725, 53.5707483)), ((-0.4204732, 53.5699205), (-0.4199934, 53.5701485))]",118,Gauge 10,864,864 (100.0%),0 (0.0%),0 (0.0%),0,0
256,1,"[((0.3636581, 51.4410824), (0.3685582, 51.4411657))]",118,Gauge 6,5211,5093 (97.7%),0 (0.0%),118 (2.3%),0,0
256,1,"[((0.3636581, 51.4410824), (0.3685582, 51.4411657))]",118,Gauge 10,864,864 (100.0%),0 (0.0%),0 (0.0%),0,0
257,32,"[((-2.118128, 52.6369197), (-2.1179979, 52.6380224)), ((-2.1179979, 52.6380224), (-2.1179513, 52.638485)), ((-2.1185796, 52.6344791), (-2.118128, 52.6369197)), ((-2.1181935, 52.6457966), (-2.1179513, 52.638485)), ((-2.1186116, 52.6343568), (-2.1185796, 52.6344791)), ((-2.118208, 52.6459969), (-2.1181935, 52.6457966)), ((-2.1192133, 52.6323569), (-2.1186116, 52.6343568)), ((-2.1193786, 52.657136), (-2.118208, 52.6459969)), ((-2.1208848, 52.6280273), (-2.1192133, 52.6323569)), ((-2.119432, 52.6572746), (-2.1193786, 52.657136)), ((-2.1209595, 52.627843), (-2.1208848, 52.6280273)), ((-2.1195913, 52.6576632), (-2.119432, 52.6572746)), ((-2.121867, 52.6255128), (-2.1209595, 52.627843)), ((-2.1196735, 52.657873), (-2.1195913, 52.6576632)), ((-2.1219422, 52.625319), (-2.121867, 52.6255128)), ((-2.1245019, 52.6727015), (-2.1196735, 52.657873)), ((-2.1241569, 52.6195816), (-2.1219422, 52.625319)), ((-2.1245439, 52.6728383), (-2.1245019, 52.6727015)), ((-2.1242348, 52.6193126), (-2.1241569, 52.6195816)), ((-2.1245439, 52.6728383), (-2.1193938, 52.7236965)), ((-2.1244417, 52.609999), (-2.1242348, 52.6193126)), ((-2.1193938, 52.7236965), (-2.1190956, 52.7254023)), ((-2.1244417, 52.609999), (-2.1243209, 52.609562)), ((-2.1190956, 52.7254023), (-2.1190767, 52.7255119)), ((-2.1190767, 52.7255119), (-2.118785, 52.7270832)), ((-2.118785, 52.7270832), (-2.118633, 52.7280526)), ((-2.118633, 52.7280526), (-2.1169978, 52.7378068)), ((-2.1169978, 52.7378068), (-2.1169784, 52.737924)), ((-2.1169784, 52.737924), (-2.1107007, 52.7752412)), ((-2.1107007, 52.7752412), (-2.1102224, 52.7861912)), ((-2.1153208, 52.7967982), (-2.1102224, 52.7861912)), ((-2.1164839, 52.7980109), (-2.1153208, 52.7967982))]",117,Gauge 6,5211,5175 (99.3%),36 (0.7%),0 (0.0%),0.88,24.9
257,32,"[((-2.118128, 52.6369197), (-2.1179979, 52.6380224)), ((-2.1179979, 52.6380224), (-2.1179513, 52.638485)), ((-2.1185796, 52.6344791), (-2.118128, 52.6369197)), ((-2.1181935, 52.6457966), (-2.1179513, 52.638485)), ((-2.1186116, 52.6343568), (-2.1185796, 52.6344791)), ((-2.118208, 52.6459969), (-2.1181935, 52.6457966)), ((-2.1192133, 52.6323569), (-2.1186116, 52.6343568)), ((-2.1193786, 52.657136), (-2.118208, 52.6459969)), ((-2.1208848, 52.6280273), (-2.1192133, 52.6323569)), ((-2.119432, 52.6572746), (-2.1193786, 52.657136)), ((-2.1209595, 52.627843), (-2.1208848, 52.6280273)), ((-2.1195913, 52.6576632), (-2.119432, 52.6572746)), ((-2.121867, 52.6255128), (-2.1209595, 52.627843)), ((-2.1196735, 52.657873), (-2.1195913, 52.6576632)), ((-2.1219422, 52.625319), (-2.121867, 52.6255128)), ((-2.1245019, 52.6727015), (-2.1196735, 52.657873)), ((-2.1241569, 52.6195816), (-2.1219422, 52.625319)), ((-2.1245439, 52.6728383), (-2.1245019, 52.6727015)), ((-2.1242348, 52.6193126), (-2.1241569, 52.6195816)), ((-2.1245439, 52.6728383), (-2.1193938, 52.7236965)), ((-2.1244417, 52.609999), (-2.1242348, 52.6193126)), ((-2.1193938, 52.7236965), (-2.1190956, 52.7254023)), ((-2.1244417, 52.609999), (-2.1243209, 52.609562)), ((-2.1190956, 52.7254023), (-2.1190767, 52.7255119)), ((-2.1190767, 52.7255119), (-2.118785, 52.7270832)), ((-2.118785, 52.7270832), (-2.118633, 52.7280526)), ((-2.118633, 52.7280526), (-2.1169978, 52.7378068)), ((-2.1169978, 52.7378068), (-2.1169784, 52.737924)), ((-2.1169784, 52.737924), (-2.1107007, 52.7752412)), ((-2.1107007, 52.7752412), (-2.1102224, 52.7861912)), ((-2.1153208, 52.7967982), (-2.1102224, 52.7861912)), ((-2.1164839, 52.7980109), (-2.1153208, 52.7967982))]",117,Gauge 10,864,847 (98.0%),17 (2.0%),0 (0.0%),0.83,25.4
258,5,"[((-1.2645544, 52.3807077), (-1.2465442, 52.3780967)), ((-1.2485791, 52.3785073), (-1.2465442, 52.3780967)), ((-1.2650989, 52.3807126), (-1.2645544, 52.3807077)), ((-1.2672394, 52.3806492), (-1.2650989, 52.3807126)), ((-1.2693609, 52.3805505), (-1.2672394, 52.3806492))]",117,Gauge 6,5211,5211 (100.0%),0 (0.0%),0 (0.0%),0,0
258,5,"[((-1.2645544, 52.3807077), (-1.2465442, 52.3780967)), ((-1.2485791, 52.3785073), (-1.2465442, 52.3780967)), ((-1.2650989, 52.3807126), (-1.2645544, 52.3807077)), ((-1.2672394, 52.3806492), (-1.2650989, 52.3807126)), ((-1.2693609, 52.3805505), (-1.2672394, 52.3806492))]",117,Gauge 10,864,864 (100.0%),0 (0.0%),0 (0.0%),0,0
259,70,"[((-0.3890407, 53.0113047), (-0.3888506, 53.0115716)), ((-0.3888506, 53.0115716), (-0.3881306, 53.0125753)), ((-0.3890563, 53.011281), (-0.3890407, 53.0113047)), ((-0.4114636, 53.1492323), (-0.3881306, 53.0125753)), ((-0.3926368, 53.0053311), (-0.3890563, 53.011281)), ((-0.4117129, 53.1493637), (-0.4114636, 53.1492323)), ((-0.3926979, 53.005115), (-0.3926368, 53.0053311)), ((-0.4152737, 53.1512344), (-0.4117129, 53.1493637)), ((-0.3926979, 53.005115), (-0.3925064, 52.9991718)), ((-0.4154254, 53.1513151), (-0.4152737, 53.1512344)), ((-0.3925064, 52.9991718), (-0.3923969, 52.9988107)), ((-0.4233222, 53.1554819), (-0.4154254, 53.1513151)), ((-0.3923969, 52.9988107), (-0.3884322, 52.9939526)), ((-0.4235112, 53.1555917), (-0.4233222, 53.1554819)), ((-0.3884322, 52.9939526), (-0.3882172, 52.9938018)), ((-0.4311173, 53.164919), (-0.4235112, 53.1555917)), ((-0.3882172, 52.9938018), (-0.3843307, 52.9917797)), ((-0.4311528, 53.1650286), (-0.4311173, 53.164919)), ((-0.3843307, 52.9917797), (-0.3771455, 52.9885414)), ((-0.4324525, 53.1690708), (-0.4311528, 53.1650286)), ((-0.3771455, 52.9885414), (-0.3341778, 52.961575)), ((-0.4324821, 53.1691673), (-0.4324525, 53.1690708)), ((-0.3341778, 52.961575), (-0.3336802, 52.9612256)), ((-0.4364832, 53.1815275), (-0.4324821, 53.1691673)), ((-0.3336802, 52.9612256), (-0.2858491, 52.9360327)), ((-0.4365231, 53.1816541), (-0.4364832, 53.1815275)), ((-0.2858491, 52.9360327), (-0.2511128, 52.9189387)), ((-0.4418575, 53.1897416), (-0.4365231, 53.1816541)), ((-0.2511128, 52.9189387), (-0.2507425, 52.9187628)), ((-0.4419544, 53.1898347), (-0.4418575, 53.1897416)), ((-0.2507425, 52.9187628), (-0.1682617, 52.8179967)), ((-0.448088, 53.195802), (-0.4419544, 53.1898347)), ((-0.168272, 52.8178539), (-0.1682617, 52.8179967)), ((-0.448242, 53.1959518), (-0.448088, 53.195802)), ((-0.168302, 52.8174374), (-0.168272, 52.8178539)), ((-0.4657586, 53.2129439), (-0.448242, 53.1959518)), ((-0.168302, 52.8174374), (-0.1618522, 52.8042963)), ((-0.465814, 53.2129974), (-0.4657586, 53.2129439)), ((-0.1618522, 52.8042963), (-0.1617773, 52.8042401)), ((-0.4709056, 53.2168647), (-0.465814, 53.2129974)), ((-0.1617773, 52.8042401), (-0.1578714, 52.8010549)), ((-0.4715391, 53.2171873), (-0.4709056, 53.2168647)), ((-0.1578714, 52.8010549), (-0.1576896, 52.800886)), ((-0.4942118, 53.2227102), (-0.4715391, 53.2171873)), ((-0.1576896, 52.800886), (-0.1552592, 52.7982872)), ((-0.4945132, 53.2227245), (-0.4942118, 53.2227102)), ((-0.159775, 52.7855203), (-0.1552592, 52.7982872)), ((-0.4946591, 53.2227315), (-0.4945132, 53.2227245)), ((-0.1604713, 52.7846432), (-0.159775, 52.7855203)), ((-0.4949997, 53.2227472), (-0.4946591, 53.2227315)), ((-0.1798428, 52.7608372), (-0.1604713, 52.7846432)), ((-0.4991673, 53.2228147), (-0.4949997, 53.2227472)), ((-0.1800237, 52.7606207), (-0.1798428, 52.7608372)), ((-0.4997581, 53.2228238), (-0.4991673, 53.2228147)), ((-0.2282433, 52.7002946), (-0.1800237, 52.7606207)), ((-0.5113024, 53.2229741), (-0.4997581, 53.2228238)), ((-0.2285351, 52.6999115), (-0.2282433, 52.7002946)), ((-0.5257978, 53.2231799), (-0.5113024, 53.2229741)), ((-0.263739, 52.6543916), (-0.2285351, 52.6999115)), ((-0.5323739, 53.2241943), (-0.5257978, 53.2231799)), ((-0.2638907, 52.6542032), (-0.263739, 52.6543916)), ((-0.5339798, 53.2245864), (-0.5323739, 53.2241943)), ((-0.2642146, 52.6537807), (-0.2638907, 52.6542032)), ((-0.5364218, 53.2251701), (-0.5339798, 53.2245864)), ((-0.2661866, 52.6512368), (-0.2642146, 52.6537807)), ((-0.2665323, 52.6507748), (-0.2661866, 52.6512368)), ((-0.2670279, 52.6501373), (-0.2665323, 52.6507748)), ((-0.267185, 52.6499336), (-0.2670279, 52.6501373)), ((-0.2900098, 52.6219634), (-0.267185, 52.6499336)), ((-0.2900098, 52.6219634), (-0.2872871, 52.6126059))]",117,Gauge 6,5211,5149 (98.8%),62 (1.2%),0 (0.0%),0.09,2.2
259,70,"[((-0.3890407, 53.0113047), (-0.3888506, 53.0115716)), ((-0.3888506, 53.0115716), (-0.3881306, 53.0125753)), ((-0.3890563, 53.011281), (-0.3890407, 53.0113047)), ((-0.4114636, 53.1492323), (-0.3881306, 53.0125753)), ((-0.3926368, 53.0053311), (-0.3890563, 53.011281)), ((-0.4117129, 53.1493637), (-0.4114636, 53.1492323)), ((-0.3926979, 53.005115), (-0.3926368, 53.0053311)), ((-0.4152737, 53.1512344), (-0.4117129, 53.1493637)), ((-0.3926979, 53.005115), (-0.3925064, 52.9991718)), ((-0.4154254, 53.1513151), (-0.4152737, 53.1512344)), ((-0.3925064, 52.9991718), (-0.3923969, 52.9988107)), ((-0.4233222, 53.1554819), (-0.4154254, 53.1513151)), ((-0.3923969, 52.9988107), (-0.3884322, 52.9939526)), ((-0.4235112, 53.1555917), (-0.4233222, 53.1554819)), ((-0.3884322, 52.9939526), (-0.3882172, 52.9938018)), ((-0.4311173, 53.164919), (-0.4235112, 53.1555917)), ((-0.3882172, 52.9938018), (-0.3843307, 52.9917797)), ((-0.4311528, 53.1650286), (-0.4311173, 53.164919)), ((-0.3843307, 52.9917797), (-0.3771455, 52.9885414)), ((-0.4324525, 53.1690708), (-0.4311528, 53.1650286)), ((-0.3771455, 52.9885414), (-0.3341778, 52.961575)), ((-0.4324821, 53.1691673), (-0.4324525, 53.1690708)), ((-0.3341778, 52.961575), (-0.3336802, 52.9612256)), ((-0.4364832, 53.1815275), (-0.4324821, 53.1691673)), ((-0.3336802, 52.9612256), (-0.2858491, 52.9360327)), ((-0.4365231, 53.1816541), (-0.4364832, 53.1815275)), ((-0.2858491, 52.9360327), (-0.2511128, 52.9189387)), ((-0.4418575, 53.1897416), (-0.4365231, 53.1816541)), ((-0.2511128, 52.9189387), (-0.2507425, 52.9187628)), ((-0.4419544, 53.1898347), (-0.4418575, 53.1897416)), ((-0.2507425, 52.9187628), (-0.1682617, 52.8179967)), ((-0.448088, 53.195802), (-0.4419544, 53.1898347)), ((-0.168272, 52.8178539), (-0.1682617, 52.8179967)), ((-0.448242, 53.1959518), (-0.448088, 53.195802)), ((-0.168302, 52.8174374), (-0.168272, 52.8178539)), ((-0.4657586, 53.2129439), (-0.448242, 53.1959518)), ((-0.168302, 52.8174374), (-0.1618522, 52.8042963)), ((-0.465814, 53.2129974), (-0.4657586, 53.2129439)), ((-0.1618522, 52.8042963), (-0.1617773, 52.8042401)), ((-0.4709056, 53.2168647), (-0.465814, 53.2129974)), ((-0.1617773, 52.8042401), (-0.1578714, 52.8010549)), ((-0.4715391, 53.2171873), (-0.4709056, 53.2168647)), ((-0.1578714, 52.8010549), (-0.1576896, 52.800886)), ((-0.4942118, 53.2227102), (-0.4715391, 53.2171873)), ((-0.1576896, 52.800886), (-0.1552592, 52.7982872)), ((-0.4945132, 53.2227245), (-0.4942118, 53.2227102)), ((-0.159775, 52.7855203), (-0.1552592, 52.7982872)), ((-0.4946591, 53.2227315), (-0.4945132, 53.2227245)), ((-0.1604713, 52.7846432), (-0.159775, 52.7855203)), ((-0.4949997, 53.2227472), (-0.4946591, 53.2227315)), ((-0.1798428, 52.7608372), (-0.1604713, 52.7846432)), ((-0.4991673, 53.2228147), (-0.4949997, 53.2227472)), ((-0.1800237, 52.7606207), (-0.1798428, 52.7608372)), ((-0.4997581, 53.2228238), (-0.4991673, 53.2228147)), ((-0.2282433, 52.7002946), (-0.1800237, 52.7606207)), ((-0.5113024, 53.2229741), (-0.4997581, 53.2228238)), ((-0.2285351, 52.6999115), (-0.2282433, 52.7002946)), ((-0.5257978, 53.2231799), (-0.5113024, 53.2229741)), ((-0.263739, 52.6543916), (-0.2285351, 52.6999115)), ((-0.5323739, 53.2241943), (-0.5257978, 53.2231799)), ((-0.2638907, 52.6542032), (-0.263739, 52.6543916)), ((-0.5339798, 53.2245864), (-0.5323739, 53.2241943)), ((-0.2642146, 52.6537807), (-0.2638907, 52.6542032)), ((-0.5364218, 53.2251701), (-0.5339798, 53.2245864)), ((-0.2661866, 52.6512368), (-0.2642146, 52.6537807)), ((-0.2665323, 52.6507748), (-0.2661866, 52.6512368)), ((-0.2670279, 52.6501373), (-0.2665323, 52.6507748)), ((-0.267185, 52.6499336), (-0.2670279, 52.6501373)), ((-0.2900098, 52.6219634), (-0.267185, 52.6499336)), ((-0.2900098, 52.6219634), (-0.2872871, 52.6126059))]",117,Gauge 10,864,864 (100.0%),0 (0.0%),0 (0.0%),0,0
260,6,"[((-3.8903827, 55.7590679), (-3.8807238, 55.7573298)), ((-3.8906088, 55.7590791), (-3.8903827, 55.7590679)), ((-3.8807238, 55.7573298), (-3.8782783, 55.7566269)), ((-3.9234969, 55.7709125), (-3.8906088, 55.7590791)), ((-3.9241754, 55.7712517), (-3.9234969, 55.7709125)), ((-3.9282645, 55.7730235), (-3.9241754, 55.7712517))]",117,Gauge 6,5211,5093 (97.7%),118 (2.3%),0 (0.0%),8.48,22.4
260,6,"[((-3.8903827, 55.7590679), (-3.8807238, 55.7573298)), ((-3.8906088, 55.7590791), (-3.8903827, 55.7590679)), ((-3.8807238, 55.7573298), (-3.8782783, 55.7566269)), ((-3.9234969, 55.7709125), (-3.8906088, 55.7590791)), ((-3.9241754, 55.7712517), (-3.9234969, 55.7709125)), ((-3.9282645, 55.7730235), (-3.9241754, 55.7712517))]",117,Gauge 10,864,768 (88.9%),96 (11.1%),0 (0.0%),8.18,21.3
261,10,"[((-2.1871711, 52.8512594), (-2.1870834, 52.8511448)), ((-2.1870834, 52.8511448), (-2.1854137, 52.8491461)), ((-2.196664, 52.8628277), (-2.1871711, 52.8512594)), ((-2.1854137, 52.8491461), (-2.1852836, 52.8489923)), ((-2.1852836, 52.8489923), (-2.184423, 52.8479635)), ((-2.184423, 52.8479635), (-2.1455818, 52.8167266)), ((-2.1455818, 52.8167266), (-2.1455056, 52.8166817)), ((-2.1455056, 52.8166817), (-2.1318683, 52.809307)), ((-2.1318683, 52.809307), (-2.1317664, 52.8092512)), ((-2.1317664, 52.8092512), (-2.1298729, 52.8082264))]",116,Gauge 6,5211,5207 (99.9%),4 (0.1%),0 (0.0%),7.73,33.0
261,10,"[((-2.1871711, 52.8512594), (-2.1870834, 52.8511448)), ((-2.1870834, 52.8511448), (-2.1854137, 52.8491461)), ((-2.196664, 52.8628277), (-2.1871711, 52.8512594)), ((-2.1854137, 52.8491461), (-2.1852836, 52.8489923)), ((-2.1852836, 52.8489923), (-2.184423, 52.8479635)), ((-2.184423, 52.8479635), (-2.1455818, 52.8167266)), ((-2.1455818, 52.8167266), (-2.1455056, 52.8166817)), ((-2.1455056, 52.8166817), (-2.1318683, 52.809307)), ((-2.1318683, 52.809307), (-2.1317664, 52.8092512)), ((-2.1317664, 52.8092512), (-2.1298729, 52.8082264))]",116,Gauge 10,864,862 (99.8%),2 (0.2%),0 (0.0%),7.69,33.0
262,2,"[((-0.106302, 51.5802192), (np.float64(-0.1047797), np.float64(51.5763246))), ((-0.1110421, 51.5859362), (-0.106302, 51.5802192))]",116,Gauge 6,5211,4987 (95.7%),224 (4.3%),0 (0.0%),0.45,3.4
262,2,"[((-0.106302, 51.5802192), (np.float64(-0.1047797), np.float64(51.5763246))), ((-0.1110421, 51.5859362), (-0.106302, 51.5802192))]",116,Gauge 10,864,864 (100.0%),0 (0.0%),0 (0.0%),0,0
263,1,"[((-0.3122959, 53.6059422), (-0.3114298, 53.6062873))]",116,Gauge 6,5211,5211 (100.0%),0 (0.0%),0 (0.0%),0,0
263,1,"[((-0.3122959, 53.6059422), (-0.3114298, 53.6062873))]",116,Gauge 10,864,864 (100.0%),0 (0.0%),0 (0.0%),0,0
264,1,"[((-0.4849971, 52.1412095), (-0.4817234, 52.1382355))]",116,Gauge 6,5211,5188 (99.6%),23 (0.4%),0 (0.0%),1.91,6.3
264,1,"[((-0.4849971, 52.1412095), (-0.4817234, 52.1382355))]",116,Gauge 10,864,864 (100.0%),0 (0.0%),0 (0.0%),0,0
265,1,"[((-1.4894127, 52.9887843), (-1.4856328, 52.9873863))]",116,Gauge 6,5211,5041 (96.7%),170 (3.3%),0 (0.0%),4.00,21.3
265,1,"[((-1.4894127, 52.9887843), (-1.4856328, 52.9873863))]",116,Gauge 10,864,864 (100.0%),0 (0.0%),0 (0.0%),0,0
